name	taxonomy_id	taxonomy_lvl	SRR9061428_S.bracken_num	SRR9061428_S.bracken_frac	SRR9061429_S.bracken_num	SRR9061429_S.bracken_frac	SRR9061430_S.bracken_num	SRR9061430_S.bracken_frac	SRR9061431_S.bracken_num	SRR9061431_S.bracken_frac	SRR9061432_S.bracken_num	SRR9061432_S.bracken_frac	SRR9061433_S.bracken_num	SRR9061433_S.bracken_frac	SRR9061434_S.bracken_num	SRR9061434_S.bracken_frac	SRR9061435_S.bracken_num	SRR9061435_S.bracken_frac	SRR9061436_S.bracken_num	SRR9061436_S.bracken_frac	SRR9061437_S.bracken_num	SRR9061437_S.bracken_frac	SRR9061438_S.bracken_num	SRR9061438_S.bracken_frac	SRR9061439_S.bracken_num	SRR9061439_S.bracken_frac	SRR9061440_S.bracken_num	SRR9061440_S.bracken_frac	SRR9061441_S.bracken_num	SRR9061441_S.bracken_frac	SRR9061442_S.bracken_num	SRR9061442_S.bracken_frac	SRR9061443_S.bracken_num	SRR9061443_S.bracken_frac	SRR9061444_S.bracken_num	SRR9061444_S.bracken_frac	SRR9061445_S.bracken_num	SRR9061445_S.bracken_frac	SRR9061446_S.bracken_num	SRR9061446_S.bracken_frac	SRR9061447_S.bracken_num	SRR9061447_S.bracken_frac	SRR9061448_S.bracken_num	SRR9061448_S.bracken_frac	SRR9061449_S.bracken_num	SRR9061449_S.bracken_frac	SRR9061450_S.bracken_num	SRR9061450_S.bracken_frac	SRR9061451_S.bracken_num	SRR9061451_S.bracken_frac	SRR9061452_S.bracken_num	SRR9061452_S.bracken_frac	SRR9061453_S.bracken_num	SRR9061453_S.bracken_frac	SRR9061454_S.bracken_num	SRR9061454_S.bracken_frac	SRR9061455_S.bracken_num	SRR9061455_S.bracken_frac	SRR9061456_S.bracken_num	SRR9061456_S.bracken_frac	SRR9061457_S.bracken_num	SRR9061457_S.bracken_frac
Salmonella enterica	2986	S	0	0.00000	0	0.00000	0	0.00000	2061	0.12321	0	0.00000	0	0.00000	0	0.00000	0	0.00000	977	0.02838	604	0.01767	0	0.00000	2433	0.08950	0	0.00000	1079	0.03497	1945	0.05761	1676	0.05239	0	0.00000	0	0.00000	3209	0.11187	3770	0.12455	1916	0.05837	2249	0.05897	0	0.00000	0	0.00000	0	0.00000	0	0.00000	3864	0.11850	3232	0.08898	3530	0.09045	2829	0.08627
Bifidobacterium bifidum	2581	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2225	0.06894	2512	0.07782	90	0.00335	150	0.00460	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2577	0.08984	2884	0.09528	0	0.00000	46	0.00121	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bifidobacterium pseudolongum	2584	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	69	0.00214	106	0.00328	179	0.00667	212	0.00651	64	0.00186	64	0.00187	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	42	0.00131	0	0.00000	0	0.00000	149	0.00519	71	0.00235	0	0.00000	63	0.00165	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Serratia marcescens	2987	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	3073	0.09522	0	0.00000	0	0.00000	0	0.00000	1411	0.04099	1658	0.04851	3610	0.12338	4834	0.17783	0	0.00000	1127	0.03653	5121	0.15168	3880	0.12129	0	0.00000	0	0.00000	6084	0.21210	5404	0.17853	6633	0.20208	6488	0.17013	0	0.00000	0	0.00000	4205	0.17383	2905	0.13056	10176	0.31208	10939	0.30118	8463	0.21684	8884	0.27090
Haemophilus parainfluenzae	3010	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	650	0.02014	1045	0.03237	3014	0.11226	3712	0.11395	1050	0.03050	1628	0.04763	294	0.01005	554	0.02038	0	0.00000	190	0.00616	0	0.00000	219	0.00685	0	0.00000	127	0.00314	0	0.00000	0	0.00000	2373	0.07229	3258	0.08543	0	0.00000	0	0.00000	868	0.03588	499	0.02243	443	0.01359	573	0.01578	212	0.00543	0	0.00000
Acinetobacter johnsonii	3013	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1116	0.03458	2142	0.06636	0	0.00000	0	0.00000	421	0.01223	307	0.00898	1482	0.05065	1515	0.05573	0	0.00000	751	0.02434	1779	0.05269	1382	0.04320	0	0.00000	0	0.00000	2833	0.09876	2064	0.06819	828	0.02523	1310	0.03435	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2035	0.06241	1626	0.04477	1312	0.03362	1236	0.03769
Bifidobacterium thermacidophilum	2585	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	40	0.00124	0	0.00000	46	0.00141	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	69	0.00241	0	0.00000	0	0.00000	45	0.00118	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bifidobacterium animalis	2580	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	34	0.00127	43	0.00132	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Rothia mucilaginosa	2538	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	570	0.02123	523	0.01605	0	0.00000	0	0.00000	0	0.00000	0	0.00000	136	0.00442	378	0.01225	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Microbacterium lacticum	2524	S	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	172	0.00641	210	0.00645	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
